vehicleID,laneID,time(s),lateralDistance(m),longitudinalDistance(m),velocity(km/h),acceleration(m/s^2),vehicleLength(m),vehicleWidth(m)
3,5,0.0,11.419999999999998,295.57,38.48,-0.6,4.75,2.02
3,5,0.04,11.43,297.01,38.46,-0.6,4.75,2.02
3,5,0.08,11.43,298.47,38.43,-0.6,4.75,2.02
3,5,0.12,11.439999999999998,299.98,38.41,-0.6,4.75,2.02
3,5,0.16,11.45,301.49,38.38,-0.6,4.75,2.02
3,5,0.2,11.45,303.01,38.36,-0.6,4.75,2.02
3,5,0.24,11.46,304.53999999999996,38.34,-0.6,4.75,2.02
3,5,0.28,11.469999999999999,306.08,38.31,-0.6,4.75,2.02
3,5,0.32,11.48,307.63,38.29,-0.6,4.75,2.02
3,5,0.36,11.48,309.17,38.27,-0.6,4.75,2.02
3,5,0.4,11.489999999999998,310.71,38.24,-0.6,4.75,2.02
3,5,0.44,11.5,312.24,38.22,-0.6,4.75,2.02
3,5,0.48,11.5,313.76,38.19,-0.6,4.75,2.02
3,5,0.52,11.509999999999998,315.28,38.17,-0.6,4.75,2.02
3,5,0.56,11.509999999999998,316.8,38.15,-0.6,4.75,2.02
3,5,0.6,11.52,318.34,38.12,-0.6,4.75,2.02
3,5,0.64,11.529999999999998,319.89,38.1,-0.6,4.75,2.02
3,5,0.68,11.529999999999998,321.43,38.07,-0.61,4.75,2.02
3,5,0.72,11.54,322.97,38.05,-0.61,4.75,2.02
3,5,0.76,11.54,324.51,38.03,-0.61,4.75,2.02
3,5,0.8,11.55,326.05,38.0,-0.61,4.75,2.02
3,5,0.84,11.55,327.57,37.98,-0.61,4.75,2.02
3,5,0.88,11.559999999999999,329.1,37.95,-0.61,4.75,2.02
3,5,0.92,11.559999999999999,330.63,37.93,-0.61,4.75,2.02
3,5,0.96,11.57,332.15,37.9,-0.61,4.75,2.02
3,5,1.0,11.57,333.65999999999997,37.88,-0.61,4.75,2.02
3,5,1.04,11.579999999999998,335.17,37.85,-0.61,4.75,2.02
3,5,1.08,11.579999999999998,336.68,37.83,-0.6,4.75,2.02
3,5,1.12,11.579999999999998,338.19,37.8,-0.6,4.75,2.02
3,5,1.16,11.59,339.7,37.78,-0.6,4.75,2.02
3,5,1.2,11.59,341.2,37.76,-0.59,4.75,2.02
3,5,1.24,11.59,342.71,37.73,-0.59,4.75,2.02
3,5,1.28,11.59,344.22,37.71,-0.58,4.75,2.02
3,5,1.32,11.59,345.73,37.69,-0.57,4.75,2.02
3,5,1.36,11.599999999999998,347.24,37.66,-0.57,4.75,2.02
3,5,1.4,11.599999999999998,348.75,37.64,-0.56,4.75,2.02
3,5,1.44,11.599999999999998,350.25,37.62,-0.55,4.75,2.02
3,5,1.48,11.599999999999998,351.75,37.59,-0.55,4.75,2.02
3,5,1.52,11.599999999999998,353.24,37.57,-0.54,4.75,2.02
3,5,1.56,11.599999999999998,354.75,37.55,-0.53,4.75,2.02
3,5,1.6,11.599999999999998,356.25,37.53,-0.52,4.75,2.02
3,5,1.64,11.599999999999998,357.75,37.51,-0.51,4.75,2.02
3,5,1.68,11.599999999999998,359.25,37.49,-0.5,4.75,2.02
3,5,1.72,11.599999999999998,360.74,37.47,-0.49,4.75,2.02
3,5,1.76,11.599999999999998,362.23,37.45,-0.48,4.75,2.02
3,5,1.8,11.599999999999998,363.72,37.43,-0.47,4.75,2.02
3,5,1.84,11.59,365.21,37.41,-0.46,4.75,2.02
3,5,1.88,11.59,366.7,37.39,-0.44,4.75,2.02
3,5,1.92,11.59,368.19,37.37,-0.43,4.75,2.02
3,5,1.96,11.59,369.68,37.36,-0.42,4.75,2.02
3,5,2.0,11.579999999999998,371.15999999999997,37.34,-0.41,4.75,2.02
3,5,2.04,11.579999999999998,372.64,37.32,-0.4,4.75,2.02
3,5,2.08,11.579999999999998,374.13,37.31,-0.39,4.75,2.02
3,5,2.12,11.57,375.61,37.29,-0.38,4.75,2.02
3,5,2.16,11.57,377.09,37.28,-0.36,4.75,2.02
3,5,2.2,11.559999999999999,378.57,37.26,-0.35,4.75,2.02
3,5,2.24,11.559999999999999,380.04,37.25,-0.34,4.75,2.02
3,5,2.28,11.55,381.52,37.24,-0.33,4.75,2.02
3,5,2.32,11.55,383.0,37.22,-0.33,4.75,2.02
3,5,2.36,11.54,384.48,37.21,-0.32,4.75,2.02
3,5,2.4,11.54,385.95,37.2,-0.31,4.75,2.02
3,5,2.44,11.529999999999998,387.42,37.19,-0.3,4.75,2.02
3,5,2.48,11.52,388.89,37.17,-0.3,4.75,2.02
3,5,2.52,11.52,390.39,37.16,-0.29,4.75,2.02
3,5,2.56,11.509999999999998,391.89,37.15,-0.29,4.75,2.02
3,5,2.6,11.5,393.39,37.14,-0.29,4.75,2.02
3,5,2.64,11.5,394.89,37.13,-0.28,4.75,2.02
3,5,2.68,11.489999999999998,396.39,37.12,-0.28,4.75,2.02
3,5,2.72,11.48,397.89,37.11,-0.28,4.75,2.02
3,5,2.76,11.469999999999999,399.39,37.1,-0.28,4.75,2.02
3,5,2.8,11.469999999999999,400.88,37.08,-0.28,4.75,2.02
3,5,2.84,11.46,402.38,37.07,-0.28,4.75,2.02
3,5,2.88,11.45,403.88,37.06,-0.28,4.75,2.02
3,5,2.92,11.439999999999998,405.37,37.05,-0.28,4.75,2.02
3,5,2.96,11.43,406.86,37.04,-0.28,4.75,2.02
3,5,3.0,11.419999999999998,408.34,37.03,-0.28,4.75,2.02
3,5,3.04,11.41,409.82,37.02,-0.28,4.75,2.02
3,5,3.08,11.399999999999999,411.3,37.01,-0.28,4.75,2.02
3,5,3.12,11.39,412.78,37.0,-0.28,4.75,2.02
4,4,0.0,8.120000000000001,327.45,26.82,-0.15,4.24,1.92
4,4,0.04,8.129999999999999,328.45,26.82,-0.15,4.24,1.92
4,4,0.08,8.129999999999999,329.46,26.81,-0.15,4.24,1.92
4,4,0.12,8.14,330.5,26.8,-0.15,4.24,1.92
4,4,0.16,8.149999999999999,331.55,26.8,-0.15,4.24,1.92
4,4,0.2,8.16,332.6,26.79,-0.14,4.24,1.92
4,4,0.24,8.16,333.65,26.79,-0.14,4.24,1.92
4,4,0.28,8.170000000000002,334.73,26.78,-0.14,4.24,1.92
4,4,0.32,8.18,335.78999999999996,26.78,-0.14,4.24,1.92
4,4,0.36,8.190000000000001,336.85,26.77,-0.14,4.24,1.92
